SampleID	Haplogroup	Overall_Rank
HG01369	C1d	0.7157
HG01372	A2q	0.7780
HG01374	A2q	0.7780
HG01375	A2w	0.8098
HG01377	B2	0.6780
HG01378	L1c3b1	0.8310
HG01383	A2w	0.8098
HG01384	A2w	0.8098
HG01389	L1c3a	0.7527
HG01390	B2d	0.7266
HG01392	C	0.7476
HG01393	A2z	0.8018
HG01395	A2z	0.8233
HG01396	C1b4	0.7735
HG01398	A2z	0.8233
HG01402	C1b4	0.7735
HG01403	L2b1a	0.8042
HG01405	T2a1a	0.8200
HG01412	A2	0.7677
HG01413	A2	0.7875
HG01414	L3e2b	0.8544
HG01431	A2w1	0.7552
HG01432	B2	0.6433
HG01435	C1d2a	0.7753
HG01437	B2	0.6654
HG01438	T2b4c	0.8048
HG01440	A2ac1	0.8071
HG01441	D1f2	0.7678
HG01443	A2+(64)+@153	0.7418
HG01444	B2c2b	0.6628
HG01447	A2w	0.8098
HG01455	B2	0.7160
HG01456	L3e2a1b3	0.8011
HG01459	A2w	0.8098
HG01461	C1c3	0.7644
HG01462	C1d+194	0.6649
HG01464	L2a1c4a	0.7902
HG01465	B2	0.6900
HG01468	A2w	0.8098
HG01474	A2w	0.7857
HG01479	B2	0.6872
HG01485	T2b4c	0.8264
HG01486	A2+(64)+@153	0.7191
HG01488	B2	0.6927
HG01489	H6a1a7	0.7109
HG01491	B2	0.7160
HG01492	A2al	0.8250
HG01494	B2	0.6900
HG01495	A2w1	0.7304
HG01497	B2	0.6780
HG01498	B2	0.7197
HG01500	H2a	0.6737
HG01501	H2a	0.6969
HG01503	H1z	0.7724
HG01504	H1t	0.7554
HG01506	H	0.6404
HG01507	H1	0.7585
HG01509	H1+16189	0.6550
HG01510	H13a1a1	0.6732
HG01512	J1c2e	0.8382
HG01513	H1j2	0.6737
HG01515	H2a	0.5968
HG01516	H2a	0.6724
HG01518	J1c3	0.8511
HG01519	H2a	0.5845
HG01521	H1cd	0.8439
HG01522	H2a	0.6140
HG01524	U5b2	0.7877
HG01525	H105a	0.7097
HG01527	I2	0.8329
HG01528	H1ah	0.7394
HG01530	U5a2+16294	0.8036
HG01531	N1b1a	0.8218
HG01536	K1a4a1	0.8572
HG01537	K1a4	0.8196
HG01550	B2	0.7160
HG01551	L3e4a	0.7759
HG01556	C1d1d	0.7603
HG01565	A2+(64)	0.7020
HG01566	A2	0.7313
